Symbol,Company,GICS Sector,GICS Sub-Industry 
TXG,10x Genomics,Health Care,Health Care Technology 
MMM,3M,Industrials,Industrial Conglomerates 
AOS,A. O. Smith,Industrials,Building Products 
AAON,AAON,Industrials,Building Products 
ABT,Abbott Laboratories,Health Care,Health Care Equipment 
ABBV,AbbVie,Health Care,Pharmaceuticals 
ACHC,Acadia Healthcare,Health Care,Health Care Facilities 
ACN,Accenture,Information Technology,IT Consulting & Other Services 
AYI,Acuity Brands,Industrials,Electrical Components & Equipment 
ADBE,Adobe Inc.,Information Technology,Application Software 
ADT,ADT Inc.,Consumer Discretionary,
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail 
WMS,Advanced Drainage Systems,Industrials,
AMD,Advanced Micro Devices,Information Technology,Semiconductors 
ACM,AECOM,Industrials,Construction & Engineering 
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders 
AMG,Affiliated Managers Group,Financials,Asset Management & Custody Banks 
AFRM,Affirm Holdings,Information Technology,
AFL,Aflac,Financials,Life & Health Insurance 
AGCO,AGCO,Industrials,Agricultural & Farm Machinery 
A,Agilent Technologies,Health Care,Health Care Equipment 
ADC,Agree Realty,Real Estate,
AGNC,AGNC Investment,Financials,
AL,Air Lease Corporation,Industrials,
APD,Air Products,Materials,Industrial Gases 
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise lines "
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure 
ALK,Alaska Air Group,Industrials,Passenger Airlines 
ALB,Albemarle Corporation,Materials,Specialty Chemicals 
ACI,Albertsons,Consumer Staples,
AA,Alcoa,Materials,Aluminum 
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs 
ALGN,Align Technology,Health Care,Health Care Supplies 
ALLE,Allegion,Industrials,Building Products 
ALGM,Allegro MicroSystems,Information Technology,
LNT,Alliant Energy,Utilities,Electric Utilities 
ALSN,Allison Transmission,Industrials,
ALL,Allstate,Financials,Property & Casualty Insurance 
ALLY,Ally Financial,Financials,
ALNY,Alnylam Pharmaceuticals,Health Care,
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services 
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services 
MO,Altria,Consumer Staples,Tobacco 
AMZN,Amazon,Consumer Discretionary,Broadline Retail 
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials 
DOX,Amdocs,Information Technology,
AMED,Amedisys,Health Care,Health Care Services 
AS,Amer Sports,Consumer Discretionary,Leisure Products 
AEE,Ameren,Utilities,Multi-Utilities 
AAL,American Airlines Group,Industrials,Passenger Airlines 
AEP,American Electric Power,Utilities,Electric Utilities 
AXP,American Express,Financials,Consumer Finance 
AFG,American Financial Group,Financials,Multi-line Insurance 
AMH,American Homes 4 Rent,Real Estate,
AIG,American International Group,Financials,Property & Casualty Insurance 
AMT,American Tower,Real Estate,Telecom Tower REITs 
AWK,American Water Works,Utilities,Water Utilities 
COLD,Americold,Real Estate,
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks 
AME,Ametek,Industrials,Electrical Components & Equipment 
AMGN,Amgen,Health Care,Biotechnology 
AMKR,Amkor Technology,Information Technology,Semiconductors 
APH,Amphenol,Information Technology,Electronic Components 
ADI,Analog Devices,Information Technology,Semiconductors 
NLY,Annaly Capital Management,Financials,
ANSS,Ansys,Information Technology,Application Software 
AM,Antero Midstream,Energy,
AR,Antero Resources,Energy,
AON,AON,Financials,Insurance Brokers 
APA,APA Corporation,Energy,Oil & Gas Exploration & Production 
APG,APi Group,Industrials,Construction & Engineering 
APLS,Apellis Pharmaceuticals,Health Care,Biotechnology 
APO,Apollo Global Management,Financials,
APPF,AppFolio,Information Technology,Application Software 
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals "
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment 
APP,AppLovin,Information Technology,
ATR,AptarGroup,Materials,"Metal, Glass & Plastic Containers "
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment 
ARMK,Aramark,Consumer Discretionary,
ACGL,Arch Capital Group,Financials,Reinsurance 
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services 
ARES,Ares Management,Financials,
ANET,Arista Networks,Information Technology,Communications Equipment 
AWI,Armstrong World Industries,Industrials,
ARW,Arrow Electronics,Information Technology,Technology Distributors 
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers 
ASH,Ashland Global,Materials,Diversified Chemicals 
AZPN,Aspen Technology,Information Technology,Application Software 
AIZ,Assurant,Financials,Multi-line Insurance 
AGO,Assured Guaranty,Financials,
